kind,concept,relation,score,left,right,replacement_risk,suggested_action,decision,hardcoded_reference_status,evidence
"item","antique_atlas","SIMILAR_NAME","100","aa4-atlas:antique_atlas","antiqueatlas:antique_atlas","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","chupacabra_spawn_egg","SIMILAR_NAME","100","cnc:chupacabra_spawn_egg","mobs_of_mythology:chupacabra_spawn_egg","LOW","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","","SIMILAR_NAME","100","eidolon_repraised:candlestick","vampirism:candle_stick","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path"
"item","raw_lead","SIMILAR_NAME","100","eidolon_repraised:raw_lead","immersiveengineering:raw_lead","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:raw_materials, c:raw_materials/lead, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material"
"item","raw_silver","SIMILAR_NAME","100","eidolon_repraised:raw_silver","immersiveengineering:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material, werewolves:type/silver"
"item","raw_silver","SIMILAR_NAME","100","eidolon_repraised:raw_silver","occultism:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material"
"item","raw_silver","SIMILAR_NAME","100","eidolon_repraised:raw_silver","werewolves:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material"
"item","raw_silver_block","SIMILAR_NAME","100","eidolon_repraised:raw_silver_block","occultism:raw_silver_block","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/raw_silver, malum:prospectors_treasure, werewolves:type/silver"
"item","raw_silver_block","SIMILAR_NAME","100","eidolon_repraised:raw_silver_block","werewolves:raw_silver_block","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/raw_silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_axe","SIMILAR_NAME","100","eidolon_repraised:silver_axe","werewolves:silver_axe","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:enchantables, c:tools, cnc:headhunter_enchantable, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, lodestone:enchantable/axe"
